playerId,sweaterNumber,name,position,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,pim,goalsAgainst,toi,starter,decision,shotsAgainst,saves,firstName,lastName,Team,gameId,homeRoadFlag
8475311,35,{'default': 'D. Kuemper'},G,30/31,2/3,2/2,34/36,0.944444,1,1,0,0,2,57:14,True,L,36,34,Darcy,Kuemper,LAK,2025020435,1
8481033,40,{'default': 'A. Schmid'},G,22/22,1/1,1/1,24/24,1.0,0,0,0,0,0,60:00,True,W,24,24,Akira,Schmid,VGK,2025020436,0
8474593,25,"{'default': 'J. Markstrom', 'cs': 'J. Markström', 'fi': 'J. Markström', 'sk': 'J. Markström', 'sv': 'J. Markström'}",G,21/22,1/3,0/0,22/25,0.88,1,2,0,0,3,59:14,True,L,25,22,Jacob,Markstrom,NJD,2025020436,1
8480045,1,{'default': 'U. Luukkonen'},G,17/20,2/2,0/0,19/22,0.863636,3,0,0,0,3,58:30,True,L,22,19,Ukko-Pekka,Luukkonen,BUF,2025020437,0
8477480,1,{'default': 'E. Comrie'},G,29/29,5/6,0/0,34/35,0.971429,0,1,0,0,1,60:00,True,W,35,34,Eric,Comrie,WPG,2025020437,1
8482137,30,{'default': 'Y. Askarov'},G,19/21,1/2,0/0,20/23,0.869565,2,1,0,0,3,59:35,True,L,23,20,Yaroslav,Askarov,SJS,2025020438,0
8479979,29,{'default': 'J. Oettinger'},G,13/14,3/3,0/0,16/17,0.941176,1,0,0,0,1,60:00,True,W,17,16,Jake,Oettinger,DAL,2025020438,1
8478872,70,{'default': 'K. Vejmelka'},G,27/28,5/5,0/0,32/33,0.969697,1,0,0,0,1,60:00,True,W,33,32,Karel,Vejmelka,UTA,2025020439,0
8480947,32,{'default': 'K. Lankinen'},G,14/16,0/1,0/0,14/17,0.823529,2,1,0,0,3,58:36,True,L,17,14,Kevin,Lankinen,VAN,2025020439,1
8480313,48,{'default': 'L. Thompson'},G,28/31,5/5,2/2,35/38,0.921053,3,0,0,0,3,65:00,True,O,38,35,Logan,Thompson,WSH,2025020440,0
8478024,33,{'default': 'V. Husso'},G,14/17,2/2,2/2,18/21,0.857143,3,0,0,0,3,64:39,True,W,21,18,Ville,Husso,ANA,2025020440,1
8478406,39,{'default': 'M. Blackwood'},G,22/24,3/3,0/0,25/27,0.925926,2,0,0,0,2,62:46,True,W,27,25,Mackenzie,Blackwood,COL,2025020441,0
