teamAbbrev,HomeFlag,firstName,lastName,ExpectedSOG,AvgShotsSznByLoc,LastFiveAvgShots,LastTenAvgShots,Opponent,RankAvgShotsAgainst,GoalieLastName,avgshotsvsOppAtLoc,AvgShotsAgainstThisOpp,SeasonAvgSOG,playerId,RankAvgGoalsAgainst,RankAvgSavePctg,lastfivemargin,locationmargin,combinedmargin
BOS,0,Charlie,McAvoy,1.0,0.0,1.8,0.9,VGK,2.08,Schmid,0.0,0.0,2.25,8479325,52.08,34.17,0.8,-1.0,-0.19999999999999996
BOS,0,Andrew,Peeke,2.0,0.0,1.2,0.6,VGK,2.08,Schmid,0.0,0.0,1.5,8479369,52.08,34.17,-0.8,-2.0,-2.8
BOS,0,Michael,Eyssimont,1.0,3.0,1.4,0.7,VGK,2.08,Schmid,0.0,0.0,1.75,8479591,52.08,34.17,0.3999999999999999,2.0,2.4
BOS,0,Casey,Mittelstadt,1.0,0.0,1.0,0.5,VGK,2.08,Schmid,0.0,0.0,1.25,8479999,52.08,34.17,0.0,-1.0,-1.0
BOS,0,Henri,Jokiharju,1.0,0.0,1.2,0.6,VGK,2.08,Schmid,0.0,0.0,1.5,8480035,52.08,34.17,0.19999999999999996,-1.0,-0.8
BOS,0,Marat,Khusnutdinov,1.0,2.0,0.8,0.4,VGK,2.08,Schmid,0.0,0.0,1.0,8482177,52.08,34.17,-0.19999999999999996,1.0,0.8
MTL,1,Mike,Matheson,1.0,1.0,1.0,0.5,NSH,79.58,Annunen,0.0,0.0,1.25,8476875,96.67,5.0,0.0,0.0,0.0
MTL,1,Alexandre,Carrier,1.0,0.0,0.6,0.3,NSH,79.58,Annunen,0.0,0.0,0.75,8478851,96.67,5.0,-0.4,-1.0,-1.4
MTL,1,Patrik,Laine,1.0,2.0,1.2,0.6,NSH,79.58,Annunen,0.0,0.0,1.5,8479339,96.67,5.0,0.19999999999999996,1.0,1.2
MTL,1,Cole,Caufield,3.0,2.0,2.4,1.2,NSH,79.58,Annunen,0.0,0.0,3.0,8481540,96.67,5.0,-0.6000000000000001,-1.0,-1.6
MTL,1,Arber,Xhekaj,1.0,1.0,0.6,0.3,NSH,79.58,Annunen,0.0,0.0,0.75,8482964,96.67,5.0,-0.4,0.0,-0.4
MTL,1,Lane,Hutson,1.0,1.0,1.0,0.5,NSH,79.58,Annunen,0.0,0.0,1.25,8483457,96.67,5.0,0.0,0.0,0.0
VGK,1,Reilly,Smith,1.0,1.0,1.0,0.5,BOS,37.92,Korpisalo,0.0,0.0,1.25,8475191,72.08,17.08,0.0,0.0,0.0
VGK,1,Reilly,Smith,1.0,1.0,1.0,0.5,BOS,37.92,Swayman,0.0,0.0,1.25,8475191,7.5,94.58,0.0,0.0,0.0
VGK,1,Mark,Stone,3.0,3.0,1.8,0.9,BOS,37.92,Korpisalo,0.0,0.0,2.25,8475913,72.08,17.08,-1.2,0.0,-1.2
VGK,1,Mark,Stone,3.0,3.0,1.8,0.9,BOS,37.92,Swayman,0.0,0.0,2.25,8475913,7.5,94.58,-1.2,0.0,-1.2
VGK,1,Shea,Theodore,3.0,3.0,2.0,1.0,BOS,37.92,Korpisalo,0.0,0.0,2.5,8477447,72.08,17.08,-1.0,0.0,-1.0
VGK,1,Shea,Theodore,3.0,3.0,2.0,1.0,BOS,37.92,Swayman,0.0,0.0,2.5,8477447,7.5,94.58,-1.0,0.0,-1.0
VGK,1,Jack,Eichel,5.0,5.0,3.6,1.8,BOS,37.92,Korpisalo,0.0,0.0,4.5,8478403,72.08,17.08,-1.4,0.0,-1.4
VGK,1,Jack,Eichel,5.0,5.0,3.6,1.8,BOS,37.92,Swayman,0.0,0.0,4.5,8478403,7.5,94.58,-1.4,0.0,-1.4
VGK,1,Zach,Whitecloud,1.0,0.0,0.8,0.4,BOS,37.92,Korpisalo,0.0,0.0,1.0,8480727,72.08,17.08,-0.19999999999999996,-1.0,-1.2
VGK,1,Zach,Whitecloud,1.0,0.0,0.8,0.4,BOS,37.92,Swayman,0.0,0.0,1.0,8480727,7.5,94.58,-0.19999999999999996,-1.0,-1.2
VGK,1,Pavel,Dorofeyev,3.0,5.0,2.6,1.3,BOS,37.92,Korpisalo,0.0,0.0,3.25,8481604,72.08,17.08,-0.3999999999999999,2.0,1.6
VGK,1,Pavel,Dorofeyev,3.0,5.0,2.6,1.3,BOS,37.92,Swayman,0.0,0.0,3.25,8481604,7.5,94.58,-0.3999999999999999,2.0,1.6
FLA,0,Brad,Marchand,2.0,2.0,3.2,1.6,NJD,20.83,Allen,0.0,0.0,3.2,8473419,7.5,93.33,1.2000000000000002,0.0,1.2000000000000002
FLA,0,Carter,Verhaeghe,2.5,2.0,2.6,1.3,NJD,20.83,Allen,0.0,0.0,2.6,8477409,7.5,93.33,0.10000000000000009,-0.5,-0.3999999999999999
FLA,0,Aaron,Ekblad,2.0,1.5,2.0,1.0,NJD,20.83,Allen,0.0,0.0,2.0,8477932,7.5,93.33,0.0,-0.5,-0.5
FLA,0,Sam,Reinhart,3.0,3.0,3.0,1.5,NJD,20.83,Allen,0.0,0.0,3.0,8477933,7.5,93.33,0.0,0.0,0.0
