gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,gamesStarted,decision,shotsAgainst,goalsAgainst,savePctg,shutouts,pim,toi,opponentAbbrev,playerId,firstName,lastName
2023020701,NYR,R,2024-01-18,0,0,{'default': 'Rangers'},{'default': 'Golden Knights'},1,L,25,4,0.84,0,0,57:32,VGK,8478048,Igor,Shesterkin
2023020681,NYR,H,2024-01-16,0,0,{'default': 'Rangers'},{'default': 'Kraken'},1,W,31,2,0.935484,0,0,60:00,SEA,8478048,Igor,Shesterkin
2023020669,NYR,H,2024-01-14,0,0,{'default': 'Rangers'},{'default': 'Capitals'},1,W,25,1,0.96,0,0,60:00,WSH,8478048,Igor,Shesterkin
2023020647,NYR,R,2024-01-11,0,0,{'default': 'Rangers'},{'default': 'Blues'},1,L,19,4,0.789474,0,0,57:29,STL,8478048,Igor,Shesterkin
2023020621,NYR,H,2024-01-08,0,0,{'default': 'Rangers'},{'default': 'Canucks'},1,L,25,5,0.8,0,0,59:15,VAN,8478048,Igor,Shesterkin
2023020591,NYR,H,2024-01-04,0,0,{'default': 'Rangers'},{'default': 'Blackhawks'},1,W,23,1,0.956522,0,0,60:00,CHI,8478048,Igor,Shesterkin
2023020575,NYR,H,2024-01-02,0,0,{'default': 'Rangers'},{'default': 'Hurricanes'},1,L,27,6,0.777778,0,0,60:00,CAR,8478048,Igor,Shesterkin
2023020664,DAL,R,2024-01-13,0,0,{'default': 'Stars'},{'default': 'Blackhawks'},1,,14,0,1.0,0,0,28:49,CHI,8475809,Scott,Wedgewood
2023020636,DAL,H,2024-01-10,0,0,{'default': 'Stars'},{'default': 'Wild'},1,W,23,2,0.913043,0,0,58:33,MIN,8475809,Scott,Wedgewood
2023020614,DAL,H,2024-01-06,0,0,{'default': 'Stars'},{'default': 'Predators'},1,L,22,4,0.818182,0,0,58:01,NSH,8475809,Scott,Wedgewood
2023020593,DAL,H,2024-01-04,0,0,{'default': 'Stars'},{'default': 'Avalanche'},1,O,34,5,0.852941,0,0,63:40,COL,8475809,Scott,Wedgewood
2023020577,DAL,H,2024-01-02,0,0,{'default': 'Stars'},{'default': 'Canadiens'},1,L,18,4,0.777778,0,0,53:58,MTL,8475809,Scott,Wedgewood
2023020694,DAL,R,2024-01-18,0,0,{'default': 'Stars'},{'default': 'Flyers'},1,L,43,5,0.883721,0,0,60:00,PHI,8479979,Jake,Oettinger
2023020684,DAL,H,2024-01-16,0,0,{'default': 'Stars'},{'default': 'Kings'},1,W,32,1,0.96875,0,0,60:00,LAK,8479979,Jake,Oettinger
2023020651,DAL,H,2024-01-12,0,0,{'default': 'Stars'},{'default': 'Predators'},1,L,36,4,0.888889,0,0,58:26,NSH,8479979,Jake,Oettinger
2023020637,VGK,R,2024-01-10,0,0,{'default': 'Golden Knights'},{'default': 'Avalanche'},1,L,35,3,0.914286,0,0,60:00,COL,8480238,Jiri,Patera
2023020701,VGK,H,2024-01-18,0,0,{'default': 'Golden Knights'},{'default': 'Rangers'},1,W,30,1,0.966667,0,0,59:55,NYR,8480313,Logan,Thompson
2023020680,VGK,H,2024-01-15,0,0,{'default': 'Golden Knights'},{'default': 'Predators'},1,W,35,1,0.971429,0,0,59:54,NSH,8480313,Logan,Thompson
2023020668,VGK,H,2024-01-13,0,0,{'default': 'Golden Knights'},{'default': 'Flames'},1,L,26,3,0.884615,0,0,57:59,CGY,8480313,Logan,Thompson
2023020650,VGK,H,2024-01-11,0,0,{'default': 'Golden Knights'},{'default': 'Bruins'},1,W,33,1,0.969697,0,0,60:46,BOS,8480313,Logan,Thompson
2023020616,VGK,H,2024-01-06,0,0,{'default': 'Golden Knights'},{'default': 'Islanders'},1,W,29,2,0.931034,0,0,60:00,NYI,8480313,Logan,Thompson
2023020599,VGK,H,2024-01-04,0,0,{'default': 'Golden Knights'},{'default': 'Panthers'},1,L,36,4,0.888889,0,0,60:00,FLA,8480313,Logan,Thompson
2023020573,VGK,R,2024-01-01,0,0,{'default': 'Golden Knights'},{'default': 'Kraken'},1,L,27,3,0.888889,0,0,57:00,SEA,8480313,Logan,Thompson
2023020679,PHI,R,2024-01-15,0,0,{'default': 'Flyers'},{'default': 'Blues'},1,W,30,2,0.933333,0,0,59:56,STL,8479394,Carter,Hart
2023020652,PHI,R,2024-01-12,0,0,{'default': 'Flyers'},{'default': 'Wild'},1,W,29,3,0.896552,0,0,63:36,MIN,8479394,Carter,Hart
2023020622,PHI,H,2024-01-08,0,0,{'default': 'Flyers'},{'default': 'Penguins'},1,L,39,4,0.897436,0,0,59:50,PIT,8479394,Carter,Hart
2023020605,PHI,H,2024-01-06,0,0,{'default': 'Flyers'},{'default': 'Flames'},1,W,24,2,0.916667,0,0,60:00,CGY,8479394,Carter,Hart
2023020583,PHI,R,2024-01-02,0,0,{'default': 'Flyers'},{'default': 'Oilers'},1,L,36,5,0.861111,0,0,60:00,EDM,8479394,Carter,Hart
2023020694,PHI,H,2024-01-18,0,0,{'default': 'Flyers'},{'default': 'Stars'},1,W,15,1,0.933333,0,0,60:00,DAL,8481035,Samuel,Ersson
2023020663,PHI,R,2024-01-13,0,0,{'default': 'Flyers'},{'default': 'Jets'},1,W,35,0,1.0,1,0,59:55,WPG,8481035,Samuel,Ersson
2023020635,PHI,H,2024-01-10,0,0,{'default': 'Flyers'},{'default': 'Canadiens'},1,W,19,2,0.894737,0,0,65:00,MTL,8481035,Samuel,Ersson
2023020592,PHI,H,2024-01-04,0,0,{'default': 'Flyers'},{'default': 'Blue Jackets'},1,O,28,2,0.928571,0,0,64:52,CBJ,8481035,Samuel,Ersson
2023020675,CAR,H,2024-01-15,0,0,{'default': 'Hurricanes'},{'default': 'Kings'},1,L,24,4,0.833333,0,0,45:20,LAK,8477293,Antti,Raanta
2023020657,CAR,H,2024-01-13,0,0,{'default': 'Hurricanes'},{'default': 'Penguins'},1,W,40,2,0.95,0,0,61:41,PIT,8477293,Antti,Raanta
2023020608,CAR,H,2024-01-06,0,0,{'default': 'Hurricanes'},{'default': 'Blues'},1,O,22,1,0.954545,0,0,65:00,STL,8477293,Antti,Raanta
2023020639,CAR,H,2024-01-11,0,0,{'default': 'Hurricanes'},{'default': 'Ducks'},1,,13,3,0.769231,0,2,33:56,ANA,8481611,Pyotr,Kochetkov
2023020603,CAR,R,2024-01-05,0,0,{'default': 'Hurricanes'},{'default': 'Capitals'},1,W,17,2,0.882353,0,0,60:00,WSH,8481611,Pyotr,Kochetkov
2023020575,CAR,R,2024-01-02,0,0,{'default': 'Hurricanes'},{'default': 'Rangers'},1,W,29,1,0.965517,0,0,60:00,NYR,8481611,Pyotr,Kochetkov
2023020697,TOR,R,2024-01-18,0,0,{'default': 'Maple Leafs'},{'default': 'Flames'},1,W,26,3,0.884615,0,0,59:38,CGY,8474889,Martin,Jones
2023020688,TOR,R,2024-01-16,0,0,{'default': 'Maple Leafs'},{'default': 'Oilers'},1,L,31,3,0.903226,0,0,58:17,EDM,8474889,Martin,Jones
2023020662,TOR,H,2024-01-13,0,0,{'default': 'Maple Leafs'},{'default': 'Avalanche'},1,L,32,4,0.875,0,0,58:27,COL,8474889,Martin,Jones
2023020646,TOR,R,2024-01-11,0,0,{'default': 'Maple Leafs'},{'default': 'Islanders'},1,O,30,4,0.866667,0,0,60:21,NYI,8474889,Martin,Jones
2023020627,TOR,H,2024-01-09,0,0,{'default': 'Maple Leafs'},{'default': 'Sharks'},1,W,23,1,0.956522,0,0,60:00,SJS,8474889,Martin,Jones
2023020613,TOR,R,2024-01-06,0,0,{'default': 'Maple Leafs'},{'default': 'Sharks'},1,W,24,1,0.958333,0,0,59:56,SJS,8474889,Martin,Jones
2023020588,TOR,R,2024-01-03,0,0,{'default': 'Maple Leafs'},{'default': 'Ducks'},1,W,28,1,0.964286,0,0,61:30,ANA,8474889,Martin,Jones
2023020585,TOR,R,2024-01-02,0,0,{'default': 'Maple Leafs'},{'default': 'Kings'},1,W,31,0,1.0,1,0,60:00,LAK,8474889,Martin,Jones
2023020670,TOR,H,2024-01-14,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},1,L,23,3,0.869565,0,0,59:13,DET,8478492,Ilya,Samsonov
2023020640,EDM,R,2024-01-11,0,0,{'default': 'Oilers'},{'default': 'Red Wings'},1,W,18,2,0.888889,0,0,61:20,DET,8475717,Calvin,Pickard
2023020698,EDM,H,2024-01-18,0,0,{'default': 'Oilers'},{'default': 'Kraken'},1,W,27,2,0.925926,0,0,60:00,SEA,8479973,Stuart,Skinner
2023020688,EDM,H,2024-01-16,0,0,{'default': 'Oilers'},{'default': 'Maple Leafs'},1,W,27,2,0.925926,0,0,59:42,TOR,8479973,Stuart,Skinner
2023020660,EDM,R,2024-01-13,0,0,{'default': 'Oilers'},{'default': 'Canadiens'},1,W,24,1,0.958333,0,0,61:32,MTL,8479973,Stuart,Skinner
2023020632,EDM,R,2024-01-09,0,0,{'default': 'Oilers'},{'default': 'Blackhawks'},1,W,26,1,0.961538,0,0,60:00,CHI,8479973,Stuart,Skinner
2023020615,EDM,H,2024-01-06,0,0,{'default': 'Oilers'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,W,30,1,0.966667,0,0,60:00,OTT,8479973,Stuart,Skinner
2023020583,EDM,H,2024-01-02,0,0,{'default': 'Oilers'},{'default': 'Flyers'},1,W,37,2,0.945946,0,0,59:07,PHI,8479973,Stuart,Skinner
2023020670,DET,R,2024-01-14,0,0,{'default': 'Red Wings'},{'default': 'Maple Leafs'},1,W,30,2,0.933333,0,0,59:32,TOR,8473503,James,Reimer
2023020689,DET,R,2024-01-17,0,0,{'default': 'Red Wings'},{'default': 'Panthers'},1,W,34,2,0.941176,0,0,60:52,FLA,8479312,Alex,Lyon
2023020659,DET,H,2024-01-13,0,0,{'default': 'Red Wings'},{'default': 'Kings'},1,W,36,3,0.916667,0,0,59:53,LAK,8479312,Alex,Lyon
2023020640,DET,H,2024-01-11,0,0,{'default': 'Red Wings'},{'default': 'Oilers'},1,O,47,3,0.93617,0,0,61:20,EDM,8479312,Alex,Lyon
2023020620,DET,R,2024-01-07,0,0,{'default': 'Red Wings'},{'default': 'Ducks'},1,W,31,2,0.935484,0,0,60:00,ANA,8479312,Alex,Lyon
